Organization,PersonId,PersonId_Normalized,TotalEmployees,country,displayName,surname,mail,givenName,id,userType,JobTitle,accountEnabled,usageLocation,streetAddress,state,officeLocation,city,postalCode,telephoneNumber,mobilePhone,alternateEmailAddress,ageGroup,consentProvidedForMinor,legalAgeGroupClassification,companyName,creationType,directorySynced,invitationState,identityIssuer,createdDateTime,Has license,UserKey,License Status,employeeType,employeeId,manager_id,manager_displayName,manager_userPrincipalName,manager_mail,manager_jobTitle,ManagerID,BusinessAreaLabel,CountryofEmployment,CompanyCodeLabel,CostCentreLabel,assignedLicenses,Manager_UserKey,OrgLevel,HierarchyPath,TopOfChain_UserKey,IsManager,DirectReports,TotalReports,Level0_UserKey,Level0_Name,Level1_UserKey,Level1_Name,Level2_UserKey,Level2_Name,Level3_UserKey,Level3_Name,Level4_UserKey,Level4_Name,Level5_UserKey,Level5_Name,Level6_UserKey,Level6_Name,Level7_UserKey,Level7_Name,Level8_UserKey,Level8_Name,Level9_UserKey,Level9_Name,Level10_UserKey,Level10_Name,Level11_UserKey,Level11_Name,Level12_UserKey,Level12_Name,Level13_UserKey,Level13_Name,Level14_UserKey,Level14_Name
IT,user0001@contoso-demo.com,user0001@contoso-demo.com,260,IE,Sam Keller,Keller,user0001@contoso-demo.com,Sam,00000000-0000-0000-0000-000000000001,Member,Service Desk Analyst,TRUE,IE,,,Dublin Office,Dublin,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,Yes,user0001@contoso-demo.com,Licensed,Employee,E00001,,,,,,,IT,IE,CD01,CC-IT,,,0,,,TRUE,39,39,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing,user0002@contoso-demo.com,user0002@contoso-demo.com,260,IE,Emerson Palmer,Palmer,user0002@contoso-demo.com,Emerson,00000000-0000-0000-0000-000000000002,Member,Brand Lead,TRUE,IE,,,Dublin Office,Dublin,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,Yes,user0002@contoso-demo.com,Licensed,Employee,E00002,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,Marketing,IE,CD01,CC-MAR,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Emerson Palmer,user0001@contoso-demo.com,TRUE,32,32,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance,user0003@contoso-demo.com,user0003@contoso-demo.com,260,ES,Jordan Clarke,Clarke,user0003@contoso-demo.com,Jordan,00000000-0000-0000-0000-000000000003,Member,Financial Analyst,TRUE,ES,,,Madrid Office,Madrid,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,Yes,user0003@contoso-demo.com,Licensed,Employee,E00003,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,Finance,ES,CD01,CC-FIN,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Jordan Clarke,user0001@contoso-demo.com,TRUE,32,32,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR,user0004@contoso-demo.com,user0004@contoso-demo.com,260,GB,Sage Turner,Turner,user0004@contoso-demo.com,Sage,00000000-0000-0000-0000-000000000004,Member,HR Business Partner,TRUE,GB,,,Manchester Office,Manchester,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,No,user0004@contoso-demo.com,Unlicensed,Employee,E00004,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,HR,GB,CD01,CC-HR,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Sage Turner,user0001@contoso-demo.com,TRUE,32,32,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal,user0005@contoso-demo.com,user0005@contoso-demo.com,260,ES,Reese Norton,Norton,user0005@contoso-demo.com,Reese,00000000-0000-0000-0000-000000000005,Member,Legal Counsel,TRUE,ES,,,Madrid Office,Madrid,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,No,user0005@contoso-demo.com,Unlicensed,Employee,E00005,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,Legal,ES,CD01,CC-LEG,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Reese Norton,user0001@contoso-demo.com,TRUE,31,31,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operations,user0006@contoso-demo.com,user0006@contoso-demo.com,260,ES,Blake Rivera,Rivera,user0006@contoso-demo.com,Blake,00000000-0000-0000-0000-000000000006,Member,Operations Manager,TRUE,ES,,,Madrid Office,Madrid,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,Yes,user0006@contoso-demo.com,Licensed,Employee,E00006,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,Operations,ES,CD01,CC-OPE,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Blake Rivera,user0001@contoso-demo.com,TRUE,31,31,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Service,user0007@contoso-demo.com,user0007@contoso-demo.com,260,GB,Riley Rivera,Rivera,user0007@contoso-demo.com,Riley,00000000-0000-0000-0000-000000000007,Member,Support Lead,TRUE,GB,,,Manchester Office,Manchester,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,No,user0007@contoso-demo.com,Unlicensed,Employee,E00007,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,Customer Service,GB,CD01,CC-CUS,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Riley Rivera,user0001@contoso-demo.com,TRUE,31,31,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,user0008@contoso-demo.com,user0008@contoso-demo.com,260,GB,Rowan Osborne,Osborne,user0008@contoso-demo.com,Rowan,00000000-0000-0000-0000-000000000008,Member,Sales Manager,TRUE,GB,,,London Office,London,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,Yes,user0008@contoso-demo.com,Licensed,Employee,E00008,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,Sales,GB,CD01,CC-SAL,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Rowan Osborne,user0001@contoso-demo.com,TRUE,31,31,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,user0009@contoso-demo.com,user0009@contoso-demo.com,260,GB,Taylor Ellis,Ellis,user0009@contoso-demo.com,Taylor,00000000-0000-0000-0000-000000000009,Member,IT Manager,TRUE,GB,,,Manchester Office,Manchester,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,No,user0009@contoso-demo.com,Unlicensed,Employee,E00009,00000000-0000-0000-0000-000000000001,Sam Keller,user0001@contoso-demo.com,user0001@contoso-demo.com,Service Desk Analyst,user0001@contoso-demo.com,IT,GB,CD01,CC-IT,,user0001@contoso-demo.com,1,Sam Keller > Sam Keller > Taylor Ellis,user0001@contoso-demo.com,FALSE,0,0,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing,user0010@contoso-demo.com,user0010@contoso-demo.com,260,GB,Alex Fletcher,Fletcher,user0010@contoso-demo.com,Alex,00000000-0000-0000-0000-000000000010,Member,Marketing Manager,TRUE,GB,,,London Office,London,,,,,,,,Contoso Demo Ltd,,,,,2024-01-15T09:00:00Z,No,user0010@contoso-demo.com,Unlicensed,Employee,E00010,00000000-0000-0000-0000-000000000002,Emerson Palmer,user0002@contoso-demo.com,user0002@contoso-demo.com,Brand Lead,user0002@contoso-demo.com,Marketing,GB,CD01,CC-MAR,,user0002@contoso-demo.com,2,Sam Keller > Emerson Palmer > Alex Fletcher,user0001@contoso-demo.com,FALSE,0,0,user0001@contoso-demo.com,Sam Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
