Supported in,Date created,Created in,Last updated,Custom actions,Title ID,Can read OneDrive files,Can read Sharepoint sites and files,Can extend to Graph connector,Can generate images using user prompt,Can use code interpreter,Contains uploaded files,Agent name,Agent creator,Agent type (A365),Agent description,Version,Availability,Agent creator ID,Sensitivity,Can read OneDrive and Sharepoint items,OneDrive and Sharepoint items,OneDrive files,OneDrive sites,Sharepoint files,Sharepoint sites,Graph connector details,Uploaded files,Status,Channel,Creator Id,Environment Id,Bot Id,Custom action list,Instructions,Groups shared,Users shared,Entra Agent ID
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1001,Yes,Yes,No,Yes,No,Yes,HR Onboarding Agent,Sam Keller,Shared,"Declarative agent for hr & people requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0001@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0001@contoso-demo.com,env-0001,bot-0001,,Answer hr & people questions for Employee Services and hand off when confidence is low.,2,79,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1002,No,Yes,No,No,No,No,IT Helpdesk Agent,Sage Palmer,Shared,"Declarative agent for it & service desk requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0018@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0018@contoso-demo.com,env-0002,bot-0002,,Answer it & service desk questions for Contoso Demo Ltd and hand off when confidence is low.,6,117,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1003,No,Yes,No,No,No,Yes,Sales Insights Agent,Riley Adams,Shared,"Declarative agent for sales & customer requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0035@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0035@contoso-demo.com,env-0003,bot-0003,,Answer sales & customer questions for Contoso Demo Ltd and hand off when confidence is low.,6,246,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1004,Yes,Yes,No,No,No,No,Policy Lookup Agent,Quinn Fletcher,Shared,"Declarative agent for compliance & policy requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0052@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0052@contoso-demo.com,env-0004,bot-0004,,Answer compliance & policy questions for Contoso Demo Ltd and hand off when confidence is low.,2,47,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1005,No,Yes,No,No,No,Yes,Market Research Agent,Harper Turner,Shared,"Declarative agent for research & analysis requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0069@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0069@contoso-demo.com,env-0005,bot-0005,,Answer research & analysis questions for Contoso Demo Ltd and hand off when confidence is low.,5,243,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1006,No,Yes,No,Yes,No,No,Learning Coach Agent,Quinn Ellis,Shared,"Declarative agent for coaching requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0086@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0086@contoso-demo.com,env-0006,bot-0006,,Answer coaching questions for Employee Services and hand off when confidence is low.,6,128,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1007,Yes,Yes,No,No,No,Yes,Finance Reporting Agent,Skyler Harris,Shared,"Declarative agent for data & reporting requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0103@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0103@contoso-demo.com,env-0007,bot-0007,,Answer data & reporting questions for Contoso Demo Ltd and hand off when confidence is low.,5,203,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1008,No,Yes,No,No,No,No,Product Knowledge Agent,Dakota Turner,Shared,"Declarative agent for knowledge base requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0120@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0120@contoso-demo.com,env-0008,bot-0008,,Answer knowledge base questions for Contoso Demo Ltd and hand off when confidence is low.,6,188,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1009,No,Yes,No,No,No,Yes,Brand Content Agent,Quinn Mercer,Shared,"Declarative agent for content generation requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0137@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0137@contoso-demo.com,env-0009,bot-0009,,Answer content generation questions for Marketing Ops and hand off when confidence is low.,3,92,
Microsoft 365 Copilot;Teams,2026-03-02T10:00:00Z,Microsoft 365 Copilot Agent Builder,2026-06-20T14:30:00Z,0,T_1010,Yes,Yes,No,No,No,No,Campaign Ideation Agent,Emerson Fletcher,Shared,"Declarative agent for ideation & creative requests, grounded in Microsoft 365 content.",1.0.0,Everyone,user0154@contoso-demo.com,General,Yes,,,,,,,,Available,Microsoft Teams,user0154@contoso-demo.com,env-0010,bot-0010,,Answer ideation & creative questions for Marketing Ops and hand off when confidence is low.,2,233,
